Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,ValidTo
3.26028572948,0.32828252892,Abengourou,CI2001,,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.32410563403,0.17456979117,Abidjan,CI0101,,,,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.72899258536,0.36129678132,Aboisso,CI3001,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.38968999100,0.07153751188,Adiaké,CI3002,Adiake,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.47793903082,0.16753913000,Adzopé,CI2401,Adzope,,,Me,CI24,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.81901790182,0.33136440157,Agboville,CI0301,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.51229223328,0.14646662894,Agnibilékrou,CI2002,Agnibilekrou,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.70531669854,0.13745267303,Akoupé,CI2402,Akoupe,,,Me,CI24,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.09639477694,0.23372369336,Alépé,CI2403,Alepe,,,Me,CI24,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.67327506959,0.12608754763,Arrah,CI2501,,,,Moronou,CI25,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.48450887079,0.06558873882,Attiégouakro,CI0201,Attiegouakro,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.81366335758,0.18089293367,Bangolo,CI1601,,,,Guemon,CI16,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.31110186773,0.20663778376,Béoumi,CI1101,Beoumi,,,Gbeke,CI11,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.72882481003,0.09049639822,Béttié,CI2003,Bettie,,,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.97231944306,0.31951880550,Biankouma,CI3201,,,,Tonkpi,CI32,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.94441987099,0.24373101698,Bloléquin,CI0901,Blolequin,,,Cavally,CI09,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.59698743980,0.20783559520,Bocanda,CI2701,,,,N'Zi,CI27,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.80023348495,0.56853186377,Bondoukou,CI1401,,,,Gontougo,CI14,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.93336563531,0.13217658499,Bongouanou,CI2502,,,,Moronou,CI25,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.75843312573,0.10675696034,Botro,CI1102,,,,Gbeke,CI11,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.01939721963,0.32801631416,Bouaflé,CI2301,Bouafle,,,Marahoue,CI23,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.95406475645,0.27773404191,Bouaké,CI1103,Bouake,,,Gbeke,CI11,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
6.64028248151,1.18526174954,Bouna,CI0801,,,,Bounkani,CI08,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
4.21399314418,0.35709319135,Boundiali,CI0501,,,,Bagoue,CI05,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.76980714933,0.19333257323,Buyo,CI2601,,,,Nawa,CI26,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
5.41578259003,0.80688411299,Dabakala,CI1701,,,,Hambol,CI17,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
1.66304276655,0.11893738009,Dabou,CI1501,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.58005194534,0.31270535853,Daloa,CI1801,,,,Haut-Sassandra,CI18,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.87753445285,0.26143352849,Danané,CI3202,Danane,,,Tonkpi,CI32,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.51331528262,0.30938138356,Daoukro,CI1901,,,,Iffou,CI19,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.47887713888,0.25129000258,Dianra,CI0701,,,,Bere,CI07,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.15612611916,0.13949082076,Didievi,CI0601,,,,Belier,CI06,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
3.14707607478,0.20360196767,Dikodougou,CI2801,,,,Poro,CI28,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.14791273862,0.12838756224,Dimbokro,CI2702,,,,N'Zi,CI27,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.34142033584,0.28782393787,Divo,CI2201,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
0.84099325904,0.03147701607,Djekanou,CI0602,,,,Belier,CI06,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.31493066119,0.16501688671,Doropo,CI0802,,,,Bounkani,CI08,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
2.33160191027,0.23751385162,Duékoué,CI1602,Duekoue,,,Guemon,CI16,Côte d'Ivoire,CI,2011/12/24,2018/07/06,
